Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Peter Rock (Lake Ontario),CAN 1082,Hist -,Ontario,-,-,-,-,-,-
Petit Rocher,CAN 933,Hist -,New Brunswick,-,-,-,-,-,-
Petit-de-Grat (Cape Breton Island),CAN 1375,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Petite Île au Marteau,CAN 375,- -,Quebec,50° 12.2' N,063° 33.5' W,Map,FO80fe,-,-
Petite Natashquan Front Range (Gulf of St. Lawrence),CAN 1141,- -,Quebec,50° 12.0' N,061° 51.0' W,Map,FO90be,-,-
"Phare de Metis sur Mer/Pointe Mitis Pointe Mitis/Phare de Metis sur Mer, QC",CAN 376,- -,Quebec,48° 40.8' N,068° 2.0' W,Map,FN58xq,-,-
Pictou,CAN 722,- -,Nova Scotia,45° 41.0' N,062° 42.0' W,Map,FN85pq,-,-
Pictou Bar,CAN 377,Hist -,Nova Scotia,45° 41.0' N,062° 40.0' W,Map,FN85qq,-,1
Pictou Harbour Range Front,CAN 608,- -,Nova Scotia,45° 41.0' N,062° 41.0' W,Map,FN85pq,-,-
Pictou Harbour Range Rear,CAN 378,- -,Nova Scotia,45° 41.0' N,062° 41.0' W,Map,FN85pq,-,1
Pictou Island East,CAN 379,- -,Nova Scotia,45° 48.0' N,062° 31.0' W,Map,FN85rt,-,-
Pictou Island South,CAN 380,- -,Nova Scotia,45° 48.0' N,062° 35.0' W,Map,FN85qt,-,-
Pictou Island West,CAN 381,- -,Nova Scotia,45° 48.0' N,062° 36.0' W,Map,FN85qt,-,-
Pie Island (Thunder Bay),CAN 792,- -,Ontario,-,-,-,-,-,-
Pier X36 (Lake St. Clair),CAN 1019,Hist -,Ontario,42° 31.0' N,082° 40.0' W,Map,EN82pm,-,-
Pier X40 (Lake St. Clair),CAN 1020,- -,Ontario,42° 32.0' N,082° 39.0' W,Map,EN82qm,-,-
Pier X44 (Lake St. Clair),CAN 1021,- -,Ontario,42° 32.0' N,082° 37.0' W,Map,EN82qm,-,-
Pier X48 (Lake St. Clair),CAN 1022,- -,Ontario,42° 33.0' N,082° 36.0' W,Map,EN82qn,-,-
Pigeon Island (New) (Lake Ontario),CAN 785,- -,Ontario,-,-,-,-,-,3
Pigeon Island (Old) (Lake Ontario),CAN 786,Hist -,Ontario,-,-,-,-,-,2
"Pillier de Pierre Stone Pillar, Le Pillier de Pierre",CAN 979,- -,Quebec,47° 12.3' N,070° 21.6' W,Map,FN47te,NA-128,1
Pilot Bay (Kootenay Lake),CAN 628,- -,British Columbia,-,-,-,-,-,2
Pine Island,CAN 382,- -,British Columbia,50° 59.0' N,127° 44.0' W,Map,CO60dx,-,-
Pine Tree Front Range (Lake Huron),CAN 793,- -,Ontario,-,-,-,-,-,-
Pine Tree Rear Range (Lake Huron),CAN 794,- -,Ontario,-,-,-,-,-,-
Pinette River Outer Range (Front),CAN 383,Hist -,Prince Edward Island,46° 3.0' N,062° 57.0' W,Map,FN86mb,-,-
Pinette River Outer Range (Rear),CAN 384,- -,Prince Edward Island,46° 3.0' N,062° 57.0' W,Map,FN86mb,-,-
Platon Rear Range (St. Lawrence River),CAN 1152,Hist -,Quebec,-,-,-,-,-,-
Pleasant Bay Main (Cape Breton Isl.),CAN 639,Hist -,Nova Scotia,46° 50.0' N,060° 48.0' W,Map,FN96ot,-,-
Point Abino,CAN 385,Hist -,Ontario,42° 50.1' N,079° 5.7' W,Map,FN02ku,-,1
Point Aconi,CAN 386,Hist -,Nova Scotia,46° 20.0' N,060° 18.0' W,Map,FN96uh,-,1
Point Atkinson,CAN 387,- -,British Columbia,49° 20.0' N,123° 16.0' W,Map,CN89ih,-,5
Point Clark (Lake Huron),CAN 388,Hist -,Ontario,44° 4.4' N,081° 45.4' W,Map,EN94cb,-,5
Point Edward Front Range (Lake Huron),CAN 795,- -,Ontario,-,-,-,-,-,3
Point Escuminac,CAN 389,Hist -,New Brunswick,-,-,-,-,-,-
Point Latine,CAN 842,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Point Lepreau,CAN 390,- -,New Brunswick,-,-,-,-,-,-
Point Pleasant (Bay of Quinte) (Lake Ontario),CAN 1083,Hist -,Ontario,-,-,-,-,-,1
Point Prim,CAN 809,- -,Prince Edward Island,46° 3.0' N,063° 2.3' W,Map,FN86lb,-,12
Point Tupper (Strait of Canso),CAN 1376,Hist -,Nova Scotia,-,-,-,-,-,-
Point Verde,CAN 807,- -,Newfoundland and Labrador,47° 14.0' N,054° 1.0' W,Map,GN27xf,-,-
Pointe à Basile Range Front,CAN 1293,- -,Quebec,46° 43.8' N,071° 19.8' W,Map,FN46ir,-,1
Pointe à Basile Range Rear,CAN 995,- -,Quebec,46° 43.9' N,071° 18.8' W,Map,FN46ir,-,1
Pointe à Cadieux (Ottawa River),CAN 980,Hist -,Quebec,-,-,-,-,-,-
Pointe à la Meule Front Range (Richelieu River),CAN 1187,- -,Quebec,45° 14.0' N,073° 15.0' W,Map,FN35if,-,-
Pointe a Marcelle Range Front,CAN 1414,- -,New Brunswick,-,-,-,-,-,-
Pointe a Marcelle Range Rear,CAN 1415,- -,New Brunswick,-,-,-,-,-,-
Pointe Amour (Labrador),CAN 665,- -,Newfoundland and Labrador,51° 27.0' N,056° 52.0' W,Map,GO11nk,-,-
Pointe Argentenaye Range Rear,CAN 1001,- -,Quebec,46° 59.2' N,070° 49.5' W,Map,FN46ox,NA-128,1
Pointe au Baril Range Front (Georgian Bay),CAN 393,- -,Ontario,45° 34.0' N,080° 30.0' W,Map,EN95rn,-,-
Pointe au Baril Range Rear (Georgian Bay),CAN 1040,- -,Ontario,-,-,-,-,-,-
Pointe au Chêne (Ottawa River),CAN 1278,Hist -,Quebec,-,-,-,-,-,-
Pointe au Chêne Rear Range (Restigouche River),CAN 1279,- -,Quebec,48° 2.0' N,066° 37.0' W,Map,FN68qa,-,-
Pointe au Maquereau,CAN 981,Hist -,Quebec,-,-,-,-,-,-
Pointe au Pic,CAN 1250,- -,Quebec,47° 37.4' N,070° 8.4' W,Map,FN47wo,-,-
Pointe aux Anglais (Ottawa River),CAN 1271,- -,Quebec,-,-,-,-,-,-
Pointe aux Orignaux (St. Lawrence River),CAN 1294,Hist -,Quebec,-,-,-,-,-,-
Pointe aux Pins,CAN 1390,- -,Quebec,47° 2.4' N,070° 34.5' W,Map,FN47ra,NA-128,-
Pointe aux Pins (Lake Superior),CAN 888,- -,Ontario,46° 28.0' N,084° 28.0' W,Map,EN76sl,-,1
Pointe aux Pins Range Front (St. Mary's River),CAN 889,- -,Ontario,46° 28.0' N,084° 28.0' W,Map,EN76sl,-,1
Pointe aux Pins Range Rear (St. Mary's River),CAN 890,- -,Ontario,46° 28.0' N,084° 28.0' W,Map,EN76sl,-,1
Pointe aux Trembles en Bas Neuville,CAN 1142,- -,Quebec,46° 41.8' N,071° 34.4' W,Map,FN46fq,-,4
Pointe aux Trembles Front Range (St. Lawrence River),CAN 1295,Hist -,Quebec,-,-,-,-,-,-
Pointe aux Trembles Rear Range (St. Lawrence River),CAN 1296,Hist -,Quebec,-,-,-,-,-,-
Pointe Basse (Ile du Havre aux Maisons),CAN 1297,Hist -,Quebec,-,-,-,-,-,-
Pointe Bonaventure,CAN 779,- -,Quebec,48° 0.2' N,065° 27.0' W,Map,FN78ga,-,1
Pointe Carleton (Île d'Anticosti),CAN 395,- -,Quebec,49° 43.9' N,062° 56.6' W,Map,FN89mr,-,-
"Pointe Cascades Front Range/Soulanges Canal Lower Entrance Front Range (St. Lawrence River) Soulanges Canal Lower Entrance Front Range/Pointe Cascades Front Range (St. Lawrence River), QC",CAN 1198,- -,Quebec,45° 20.0' N,073° 57.0' W,Map,FN35ai,-,-
"Pointe Cascades Rear Range/Soulanges Canal Lower Entrance Rear Range (St. Lawrence River) Soulanges Canal Lower Entrance Rear Range/Pointe Cascades Rear Range (St. Lawrence River), QC",CAN 1199,- -,Quebec,-,-,-,-,-,-
Pointe Claire (St. Lawrence River),CAN 982,Hist -,Quebec,-,-,-,-,-,-
"Pointe de l'Ouest/West Point (Île d'Anticosti) West Point/Pointe de l'Ouest (Île d'Anticosti), QC",CAN 525,- -,Quebec,49° 51.8' N,064° 31.4' W,Map,FN79ru,-,-
Pointe de la Martinière Front Range,CAN 1298,- -,Quebec,46° 49.7' N,071° 7.0' W,Map,FN46kt,-,1
Pointe de la Martinière Rear Range,CAN 1299,- -,Quebec,46° 49.6' N,071° 7.5' W,Map,FN46kt,-,1
Pointe de Natashquan,CAN 336,- -,Quebec,50° 5.2' N,061° 44.4' W,Map,FO90dc,-,-
Pointe des Grondines Range Rear (St. Lawrence R.),CAN 1143,- -,Quebec,46° 35.0' N,072° 2.0' W,Map,FN36xo,-,1
Pointe des Grondines Upper Range Rear (St. Lawrence R.),CAN 1144,- -,Quebec,46° 36.0' N,072° 5.0' W,Map,FN36xo,-,-
Pointe des Monts,CAN 396,- -,Quebec,49° 19.0' N,067° 22.8' W,Map,FN69hh,-,-
"Pointe du Chene Front Range Parlee Beach Front Range, H1328, 1107",CAN 397,- -,New Brunswick,46° 14.4' N,064° 30.7' W,Map,FN76rf,-,2
"Pointe du Chene Rear Range Parlee Beach Rear Range, H1328.1, 1108",CAN 713,- -,New Brunswick,46° 14.4' N,064° 30.7' W,Map,FN76rf,-,2
Pointe du Lac (St. Lawrence River),CAN 1300,Hist -,Quebec,-,-,-,-,-,-
Pointe du Lac Front Range (St. Lawrence River),CAN 1301,Hist -,Quebec,-,-,-,-,-,-
Pointe du Lac Rear Range (St. Lawrence River),CAN 1302,Hist -,Quebec,-,-,-,-,-,-
Pointe du Sud-Ouest/Southwest Point (Île d'Anticosti),CAN 398,- -,Quebec,49° 23.5' N,063° 35.7' W,Map,FN89ej,-,-
Pointe Duthie,CAN 985,- -,Quebec,-,-,-,-,-,-
Pointe Heath (Île d'Anticosti),CAN 986,Hist -,Quebec,-,-,-,-,-,-
Pointe Noire Front Range (St. Lawrence River),CAN 399,- -,Quebec,48° 7.4' N,069° 43.0' W,Map,FN58dc,-,1
Pointe Noire Rear Range (St. Lawrence River),CAN 1129,- -,Quebec,48° 7.4' N,069° 43.4' W,Map,FN58dc,-,1
Pointe Petre (New) (Lake Ontario),CAN 763,- -,Ontario,43° 50.4' N,077° 9.1' W,Map,FN13ku,-,6
Pointe Petre (Old) (Lake Ontario),CAN 762,Hist -,Ontario,-,-,-,-,-,1
Pointe RICHE,CAN 666,- -,Newfoundland and Labrador,50° 42.0' N,057° 25.0' W,Map,GO10gq,-,-
Pointe Saint-Nicolas,CAN 996,- -,Quebec,46° 42.1' N,071° 26.8' W,Map,FN46gq,-,1
Pointe Saint-Pancrace (St. Lawrence R.),CAN 987,Hist -,Quebec,-,-,-,-,-,-
"Pointe-Sapin Range Front/Sapin Point Range Front Sapin Point Range Front/Pointe-Sapin Range Front, NB",CAN 1306,Hist -,New Brunswick,46° 58.0' N,064° 50.0' W,Map,FN76ox,-,-
"Pointe-Sapin Range Rear/Sapin Point Range Rear Sapin Point Range Rear/Pointe-Sapin Range Rear, NB",CAN 401,- -,New Brunswick,46° 58.0' N,064° 50.0' W,Map,FN76ox,-,-
Pointer Island,CAN 400,Hist -,British Columbia,52° 4.0' N,127° 58.0' W,Map,CO62ab,-,-
Pokemouche,CAN 934,Hist -,New Brunswick,-,-,-,-,-,-
Pokesudie Island,CAN 935,Hist -,New Brunswick,-,-,-,-,-,-
Pomquet Island,CAN 402,- -,Nova Scotia,45° 39.0' N,061° 45.0' W,Map,FN95dp,-,-
Popes Harbour (Harbour Island),CAN 1386,Hist -,Nova Scotia,-,-,-,-,-,1
"Porlier Pass Front Range/Race Point Race Point/Porlier Pass Front Range, BC",CAN 1130,- -,British Columbia,49° 1.0' N,123° 35.0' W,Map,CN89ea,-,-
"Porlier Pass Rear Range/Virago Point Virago Point/Porlier Pass Range Rear, BC H",CAN 403,Hist -,British Columbia,49° 1.0' N,123° 35.0' W,Map,CN89ea,-,-
Porphyry Point (Lake Superior),CAN 584,- -,Ontario,-,-,-,-,-,1
Port Arthur (Lake Superior),CAN 1084,Hist -,Ontario,-,-,-,-,-,-
Port Bickerton (New),CAN 404,- -,Nova Scotia,45° 5.0' N,061° 42.0' W,Map,FN95db,-,1
Port Bickerton (Old),CAN 1286,Hist -,Nova Scotia,45° 5.0' N,061° 42.0' W,Map,FN95db,-,1
Port Borden Breakwater,CAN 051,- -,Prince Edward Island,46° 15.0' N,063° 42.0' W,Map,FN86dg,-,-
Port Borden Pier,CAN 052,Hist -,Prince Edward Island,46° 15.0' N,063° 42.0' W,Map,FN86dg,-,4
Port Borden Range Front,CAN 053,- -,Prince Edward Island,46° 15.0' N,063° 42.0' W,Map,FN86dg,-,3
Port Borden Range Rear,CAN 054,Hist -,Prince Edward Island,46° 15.0' N,063° 42.0' W,Map,FN86dg,-,2
Port Bruce,CAN 1423,- -,Ontario,42° 39.2' N,081° 0.5' W,Map,EN92lp,-,1
Port Burwell,CAN 405,- -,Ontario,-,-,-,-,-,4
"Port Burwell Approach/Port Burwell West Breakwater Inner (Lake Erie) Port Burwell West Breakwater Inner/Port Burwell Approach (Lake Erie), ON H",CAN 1041,Hist -,Ontario,-,-,-,-,-,3
"Port Colborne Inner/Port Colborne (Lake Erie) Port Colborne/Port Colborne Inner (Lake Erie), ON",CAN 764,- -,Ontario,42° 52.0' N,079° 15.2' W,Map,FN02iu,-,-
Port Colborne Outer (Lake Erie),CAN 765,- -,Ontario,-,-,-,-,-,-
Port Colborne Range Rear (Lake Erie),CAN 1338,Hist -,Ontario,-,-,-,-,-,-
Port Credit Inner Channel (Lake Ontario),CAN 642,- -,Ontario,-,-,-,-,-,-
Port Dalhousie - Front Range,CAN 540,Hist -,Ontario,-,-,-,-,-,2
Port Dalhousie - Rear Range,CAN 541,Hist -,Ontario,-,-,-,-,-,3
Port Dalhousie Marina,CAN 1442,- -,-,-,-,-,-,-,1
Port Daniel Ouest,CAN 781,- -,Quebec,48° 9.1' N,064° 57.0' W,Map,FN78md,-,-
Port Daniel Wharf,CAN 1153,Hist -,Quebec,-,-,-,-,-,-
Port Dover East Pier Light,CAN 1447,- -,-,-,-,-,-,-,-
Port Dover Marina (break Water),CAN 1446,- -,-,-,-,-,-,-,-
Port Dover West Pier (Lake Erie),CAN 616,- -,Ontario,-,-,-,-,-,1
Port George,CAN 406,Hist -,Nova Scotia,-,-,-,-,-,2
Port Greville,CAN 407,Hist -,Nova Scotia,-,-,-,-,-,-
Port Hébert (Shingle Point),CAN 1387,Hist -,Nova Scotia,-,-,-,-,-,-
Port Hill (Wharf),CAN 408,- -,Prince Edward Island,46° 36.0' N,063° 52.0' W,Map,FN86bo,-,1
Port Hood Light (Port Hood Light),CAN 1209,Hist -,Nova Scotia,-,-,-,-,-,-
Port Hope East Breakwater - Red,CAN 802,- -,Ontario,43° 56.4' N,078° 17.5' W,Map,FN03uw,-,1
Port Hope West Pier - Green,CAN 1401,- -,Ontario,43° 56.4' N,078° 17.6' W,Map,FN03uw,-,-
Port Lewis (St. Lawrence River),CAN 1303,Hist -,Quebec,-,-,-,-,-,-
Port Maitland,CAN 1211,Hist -,Nova Scotia,-,-,-,-,-,-
Port Maitland (Lake Erie),CAN 617,- -,Ontario,42° 51.2' N,079° 34.8' W,Map,FN02fu,-,2
Port Medway,CAN 409,- -,Nova Scotia,-,-,-,-,-,1
Port Mouton (New),CAN 410,- -,Nova Scotia,43° 55.1' N,064° 48.2' W,Map,FN73ow,-,1
Port Mouton (old),CAN 1418,Hist -,Nova Scotia,43° 55.1' N,064° 48.2' W,Map,FN73ow,-,-
Port Saint-François Front Range (St. Lawrence River),CAN 1265,- -,Quebec,-,-,-,-,-,-
Port Saint-François Rear Range (St. Lawrence River),CAN 1266,- -,Quebec,-,-,-,-,-,-
Port Stanley Breakwater (Lake Erie),CAN 622,- -,Ontario,-,-,-,-,-,2
Port Stanley East Breakwater,CAN 1424,- -,Ontario,42° 39.4' N,081° 12.7' W,Map,EN92jp,-,1
Port Wade (Bay of Fundy),CAN 1283,Hist -,Nova Scotia,-,-,-,-,-,-
Port Weller Outer (Lake Ontario),CAN 766,- -,Ontario,43° 14.7' N,079° 13.1' W,Map,FN03jf,-,1
"Portage Island Range Rear Portage Island Range Rear, NB H",CAN 733M,Hist Museum,New Brunswick,-,-,-,-,-,-
Portage Island Range Rear,CAN 733H,Hist -,New Brunswick,-,-,-,-,-,-
Portapique (Bay of Fundy),CAN 1212,Hist -,Nova Scotia,-,-,-,-,-,-
Porter Point (Canning River),CAN 896,Hist -,Nova Scotia,-,-,-,-,-,-
Portlock Point,CAN 411,- -,British Columbia,48° 50.0' N,123° 21.0' W,Map,CN88ht,-,-
Portneuf en Bas Light (Portneuf River),CAN 1154,Hist -,Quebec,-,-,-,-,-,-
Portneuf en Haut Front Range (St. Lawrence River),CAN 1155,- -,Quebec,-,-,-,-,-,-
Portneuf en Haut Rear Range (St. Lawrence River),CAN 1156,- -,Quebec,-,-,-,-,-,-
Portneuf Wharf East,CAN 1428,- -,-,46° 40.9' N,071° 52.6' W,Map,FN46bq,-,1
Portsmouth Front Range (Lake Ontario),CAN 815,- -,Ontario,44° 13.1' N,076° 31.0' W,Map,FN14rf,-,4
Poste Saint-Martin Front Range (Saguenay River),CAN 1157,- -,Quebec,-,-,-,-,-,-
Poste Saint-Martin Rear Range (Saguenay River),CAN 1158,- -,Quebec,-,-,-,-,-,-
Powels Head,CAN 698,- -,Newfoundland and Labrador,46° 41.0' N,053° 24.0' W,Map,GN36hq,-,-
"Prescott Breakwater/Prescott Harbour Outer Prescott Harbour Outer/Prescott Breakwater, ON",CAN 767,- -,Ontario,-,-,-,-,-,17
Presqu'ile (Georgian Bay),CAN 882,Hist -,Ontario,-,-,-,-,-,-
Presqu'ile Point (Lake Ontario),CAN 412,- -,Ontario,43° 59.9' N,077° 40.5' W,Map,FN13dx,-,2
Preston Beach Front Range,CAN 936,Hist -,New Brunswick,-,-,-,-,-,-
Prim Point,CAN 391,Hist -,Nova Scotia,44° 41.0' N,065° 47.0' W,Map,FN74cq,-,2
"Prince Edward Point (New)/Traverse Point (New) (Lake Ontario) Traverse Point (New)/Prince Edward Point (New) (Lake Ontario), ON",CAN 788,- -,Ontario,-,-,-,-,-,2
"Prince Edward Point (Old)/Traverse Point (Old) (Lake Ontario) Traverse Point (Old)/Prince Edward Point (Old) (Lake Ontario), ON",CAN 787,- -,Ontario,-,-,-,-,-,2
Prospect Point (Vancouver Harbour),CAN 1308,- -,British Columbia,-,-,-,-,-,3
Providence Bay (Lake Huron),CAN 416,Hist -,Ontario,-,-,-,-,-,-
Pubnico Harbour,CAN 417,- -,Nova Scotia,-,-,-,-,-,1
Puffin Island,CAN 418,- -,Newfoundland and Labrador,49° 4.0' N,053° 33.0' W,Map,GN39fb,-,-
"Quaco Head (Callaghan Island, Bay of Fundy)",CAN 421,- -,New Brunswick,-,-,-,-,-,1
Quaco Pier (Bay of Fundy),CAN 1276,Hist -,New Brunswick,-,-,-,-,-,-
Quai Saint-François,CAN 1000,- -,Quebec,46° 59.8' N,070° 48.5' W,Map,FN46ox,NA-128,1
Quaker Island,CAN 422,- -,Nova Scotia,44° 31.0' N,064° 14.0' W,Map,FN74vm,-,2
Quathiaski Cove,CAN 1419,- -,British Columbia,50° 2.7' N,125° 13.3' W,Map,CO70jb,-,-
"Quebec Harbour Front Range (Michipicoten Island, Lake Superior)",CAN 853,- -,Ontario,-,-,-,-,-,-
"Quebec Harbour Rear Range (Michipicoten Island, Lake Superior)",CAN 854,- -,Ontario,-,-,-,-,-,-
"Queen's Wharf Range Light/Toronto Front Range Toronto Front Range/Queen's Wharf Range Light, ON H",CAN 542,Hist -,Ontario,-,-,-,-,-,2
Queensport,CAN 425,Hist -,Nova Scotia,45° 21.0' N,061° 16.0' W,Map,FN95ii,-,1
Race Rocks,CAN 426,Hist -,British Columbia,48° 18.0' N,123° 35.0' W,Map,CN88eh,-,-
Rainy River Front Range (Rainy River),CAN 855,- -,Ontario,-,-,-,-,-,-
Rainy River Rear Range (Rainy River),CAN 856,- -,Ontario,-,-,-,-,-,-
Random Head,CAN 667,- -,Newfoundland and Labrador,48° 6.0' N,053° 33.0' W,Map,GN38fc,-,-
Ray Of Light Richard's Landing,CAN 1410,- -,Ontario,46° 17.7' N,084° 2.2' W,Map,EN76xh,-,-
Red Horse Rock (St. Lawrence River),CAN 857,- -,Ontario,-,-,-,-,-,1
Red Islands (Cape Breton Island),CAN 1235,Hist -,Nova Scotia,-,-,-,-,-,-
"Red River Museum Red River (Marine Museum of Manitoba), MB M",CAN 738M,- Museum,Manitoba,50° 8.8' N,096° 51.9' W,Map,EO10nd,-,4
Red River Range Front,CAN 738H,Hist -,Manitoba,50° 23.7' N,096° 48.5' W,Map,EO10oj,-,-
Red River Range Rear,CAN 1430,Hist -,Manitoba,50° 23.5' N,096° 48.6' W,Map,EO10oj,-,-
Red Rock (Old Tower Isl.),CAN 428,Hist -,Ontario,-,-,-,-,-,-
Red Rock (Red Rock Isl.),CAN 429,- -,Ontario,-,-,-,-,-,-
Redman Head,CAN 1236,Hist -,Nova Scotia,-,-,-,-,-,-
Repentigny Front Range (St. Lawrence River),CAN 1159,Hist -,Quebec,-,-,-,-,-,-
Repentigny Rear Range (St. Lawrence River),CAN 1160,Hist -,Quebec,-,-,-,-,-,-
Richibucto Town Range Front (Northumberland Strait),CAN 1312,Hist -,New Brunswick,46° 41.0' N,064° 52.0' W,Map,FN76nq,-,-
Richibucto Town Range Rear (Northumberland Strait),CAN 1313,- -,New Brunswick,46° 41.0' N,064° 52.0' W,Map,FN76nq,-,-
Rimouski Range Front,CAN 1404,- -,Quebec,-,-,-,-,-,-
Rimouski Range Rear,CAN 1161,- -,Quebec,48° 28.9' N,068° 31.0' W,Map,FN58rl,-,1
Rivière du Caribou Front Range (Saguenay River),CAN 1162,- -,Quebec,-,-,-,-,-,-
Rivière du Caribou Rear Range (Saguenay River),CAN 1163,- -,Quebec,-,-,-,-,-,-
Rivière du Loup (St. Lawrence River),CAN 1164,- -,Quebec,-,-,-,-,-,-
Rivière du Moulin Lower Front Range (Saguenay River),CAN 1165,- -,Quebec,-,-,-,-,-,-
Rivière du Moulin Lower Rear Range (Saguenay River),CAN 1166,- -,Quebec,-,-,-,-,-,-
Rivière Valin Front Range (Saguenay River),CAN 1167,- -,Quebec,-,-,-,-,-,-
Robertson's Point,CAN 432,Hist -,New Brunswick,-,-,-,-,-,-
Roche à Veillon,CAN 988,- -,Quebec,47° 12.1' N,070° 21.2' W,Map,FN47te,-,1
Rocheford Point Front Range (Cape Breton Island),CAN 1237,Hist -,Nova Scotia,-,-,-,-,-,-
Rocheford Point Rear Range (Cape Breton Island),CAN 1238,Hist -,Nova Scotia,-,-,-,-,-,-
Rocher de l'Hopital - Front range,CAN 1391,- -,Quebec,47° 8.0' N,070° 27.8' W,Map,FN47sd,NA-128,-
"Rocher de l'Hôpital Rear Range Hospital Rock Rear Range, Goose Island",CAN 1168,- -,Quebec,47° 8.8' N,070° 27.3' W,Map,FN47sd,NA-128,1
Rochers au Cormoran,CAN 433,- -,Quebec,50° 9.8' N,060° 3.6' W,Map,FO90xd,-,-
Rocky Point (Harbour Breton),CAN 699,- -,Newfoundland and Labrador,47° 29.0' N,055° 48.0' W,Map,GN27cl,-,-
Rondeau East Pierhead (Lake Erie),CAN 636,Hist -,Ontario,-,-,-,-,-,1
Rondeau Harbour (Lake Erie),CAN 768,Hist -,Ontario,-,-,-,-,-,1
Rondeau West Breakwater Range Front (Lake Erie),CAN 623,Hist -,Ontario,42° 15.0' N,081° 55.0' W,Map,EN92bf,-,1
Rondeau West Breakwater Range Rear (Lake Erie),CAN 1339,Hist -,Ontario,42° 15.0' N,081° 55.0' W,Map,EN92bf,-,1
Rose Blanche,CAN 668,Hist -,Newfoundland and Labrador,47° 36.0' N,058° 42.0' W,Map,GN07po,-,-
Rotary Light (St. Lawrence River),CAN 586,Hist -,Ontario,-,-,-,-,-,14
Rouse Point,CAN 435,- -,Nova Scotia,45° 51.0' N,060° 8.0' W,Map,FN95wu,-,-
Saddle Island (Old),CAN 750,- -,Newfoundland and Labrador,-,-,-,-,-,-
Sailors Encampment Front Range (St. Mary's River),CAN 820,- -,Ontario,-,-,-,-,-,1
Sailors Encampment Rear Range (St. Mary's River),CAN 821,- -,Ontario,-,-,-,-,-,1
Saint Petronille I. O.,CAN 1396,Hist -,Quebec,-,-,-,-,-,-
Saint-Antoine de Tilly (St. Lawrence River),CAN 1268,Hist -,Quebec,-,-,-,-,-,-
Saint-Jean (Ile d'Orléans),CAN 1135,Hist -,Quebec,46° 55.0' N,070° 53.8' W,Map,FN46nv,NA-128,1
Saint-Jean d'Orléans (Île d'Orléans),CAN 999,- -,Quebec,46° 54.9' N,070° 53.8' W,Map,FN46nv,NA-128,1
Saint-Jean sur Richelieu (Richelieu River),CAN 1169,Hist -,Quebec,-,-,-,-,-,-
Saint-Laurent de Orléans Île d'Orléans,CAN 998,- -,Quebec,46° 51.5' N,071° 0.2' W,Map,FN46lu,NA-128,1
Saint-Michel Range Front,CAN 994,- -,Quebec,46° 52.5' N,070° 55.0' W,Map,FN46nv,-,2
Saint-Michel Range Rear (St. Lawrence River),CAN 1333,- -,Quebec,46° 51.7' N,070° 55.8' W,Map,FN46mu,-,1
Saint-Omer (Baie des Chaleurs),CAN 1304,Hist -,Quebec,-,-,-,-,-,-
Sainte-Anne de Sorel Front Range (St. Lawrence River),CAN 1269,- -,Quebec,46° 3.5' N,073° 3.4' W,Map,FN36lb,-,1
Sainte-Anne de Sorel Rear Range (St. Lawrence River),CAN 1270,- -,Quebec,46° 3.3' N,073° 3.8' W,Map,FN36lb,-,-
Sainte-Croix,CAN 1171,- -,Quebec,46° 37.7' N,071° 43.9' W,Map,FN46dp,-,-
Sainte-croix Front Range,CAN 1429,- -,-,46° 37.7' N,071° 42.0' W,Map,FN46dp,-,-
Sainte-Croix Rear Range,CAN 1172,- -,Quebec,46° 37.6' N,071° 41.6' W,Map,FN46dp,-,-
Sainte-Famille Front Range (St. Lawrence River),CAN 1115,Hist -,Quebec,-,-,-,-,-,-
Sainte-Famille Rear Range (St. Lawrence River),CAN 1116,Hist -,Quebec,-,-,-,-,-,-
"Sainte-Pétronille (Beaulieu, Île d'Orléans)",CAN 997,- -,Quebec,46° 50.7' N,071° 7.9' W,Map,FN46ku,NA-128,1
"Salmon Point/Wicked Point (Lake Ontario) Wicked Point/Salmon Point (Lake Ontario), ON",CAN 789,- -,Ontario,-,-,-,-,-,1
Salmon River,CAN 439,Hist -,Nova Scotia,-,-,-,-,-,-
Salt Point (Lake Ontario),CAN 822,- -,Ontario,-,-,-,-,-,-
Salvages (Half Moon),CAN 440,- -,Nova Scotia,-,-,-,-,-,1
Sambro Harbour,CAN 441,- -,Nova Scotia,44° 29.0' N,063° 36.0' W,Map,FN84el,-,1
Sambro Island,CAN 442,- -,Nova Scotia,44° 26.2' N,063° 33.8' W,Map,FN84fk,-,-
Sand Point,CAN 769,- -,Ontario,45° 29.3' N,076° 26.1' W,Map,FN15sl,-,5
Sand Point,CAN 445,Hist -,New Brunswick,-,-,-,-,-,-
Sandford Sector (Bay of Fundy),CAN 1320,- -,Nova Scotia,43° 55.0' N,066° 9.0' W,Map,FN63ww,-,-
Sandwich Point Range Front,CAN 884,- -,Nova Scotia,44° 35.0' N,063° 33.0' W,Map,FN84fn,-,-
Sandwich Point Range Rear,CAN 881,- -,Nova Scotia,44° 35.0' N,063° 33.0' W,Map,FN84fn,-,-
Sandy Beach Point (Gaspé Basin),CAN 1188,Hist -,Quebec,-,-,-,-,-,-
